"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 06 09:15:46 GMT 2025","Wed Aug 06 09:15:49 GMT 2025","3673","LMS system","Courses","Courses","","","Edit course",""
"passed","Wed Aug 06 09:15:42 GMT 2025","Wed Aug 06 09:15:44 GMT 2025","1555","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Aug 06 09:15:51 GMT 2025","Wed Aug 06 09:15:51 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Wed Aug 06 09:15:37 GMT 2025","Wed Aug 06 09:15:39 GMT 2025","1751","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Aug 06 09:15:41 GMT 2025","Wed Aug 06 09:15:42 GMT 2025","1477","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Aug 06 09:15:50 GMT 2025","Wed Aug 06 09:15:52 GMT 2025","1881","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Aug 06 09:15:52 GMT 2025","Wed Aug 06 09:15:52 GMT 2025","1","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Wed Aug 06 09:15:39 GMT 2025","Wed Aug 06 09:15:41 GMT 2025","1319","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Aug 06 09:15:39 GMT 2025","Wed Aug 06 09:15:42 GMT 2025","2686","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Aug 06 09:15:44 GMT 2025","Wed Aug 06 09:15:45 GMT 2025","1306","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Aug 06 09:15:37 GMT 2025","Wed Aug 06 09:15:39 GMT 2025","1674","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Aug 06 09:15:45 GMT 2025","Wed Aug 06 09:15:48 GMT 2025","2608","LMS system","Courses","Courses","","","Create course",""
"passed","Wed Aug 06 09:15:48 GMT 2025","Wed Aug 06 09:15:51 GMT 2025","2738","LMS system","Courses","Courses","","","test_create_course[chromium]",""
